id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000021355	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.71	0.00	0.00	3.07	0.00	4.57	0.00	2.89	0.00	3.34	0.00	0.00
ENSG00000021574	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.25	1.55	1.42	1.55	0.00	1.53	0.00
ENSG00000021826	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.74	0.00	1.56	0.00	0.00	1.52	0.00	0.00	0.00	0.00
ENSG00000022267	0.00	0.00	0.00	25.16	0.00	0.00	0.00	633.49	0.00	81.38	84.84	94.32	48.69	35.44	0.00	3.31	86.89	19.85	23.46	0.00
ENSG00000022840	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000023228	1.12	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48
ENSG00000025800	1.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000026751	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.33	0.00	0.00	0.00	0.00	0.00	3.45	0.00
ENSG00000033170	0.00	82.11	46.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.75	42.15	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000035664	0.00	0.00	0.00	0.00	0.00	15.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000035928	0.00	0.00	0.00	0.00	1.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000037749	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000037757	4613.70	4886.87	4361.87	3476.83	2377.44	1694.84	3593.16	1127.22	5048.13	4692.23	2917.59	6769.93	2647.31	3728.38	3598.01	7827.01	5702.78	6323.96	2396.04	2095.92
ENSG00000038210	0.00	0.00	0.00	0.00	19.43	0.00	0.00	1.76	4.23	8.46	0.00	37.16	0.00	2.93	43.98	0.00	18.59	0.00	0.00	1.68
ENSG00000039319	2.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.41	1.41	3.24	2.73	0.00	0.00	0.00	0.00	0.00	0.00	3.04	2.55
ENSG00000042304	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000042429	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000044115	0.00	18.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000046604	0.00	2.18	0.00	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000047410	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00
